DATE,PDF FILE,TT BUY,TT SELL,BILL BUY,BILL SELL,TC BUY,TC SELL,CN BUY,CN SELL,PC BUY
2024-04-22 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/4/2024-04-22.pdf,0.27,0.28,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-04-23 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/4/2024-04-23.pdf,0.27,0.29,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-04-24 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/4/2024-04-24.pdf,0.27,0.29,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-04-25 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/4/2024-04-25.pdf,0.27,0.29,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-04-26 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/4/2024-04-26.pdf,0.27,0.29,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-05-02 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/5/2024-05-02.pdf,0.27,0.29,0.27,0.29,0.00,0.00,0.27,0.29,0
2024-05-03 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/5/2024-05-03.pdf,0.27,0.29,0.27,0.29,0.00,0.00,0.27,0.29,0
2024-05-04 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/5/2024-05-04.pdf,0.27,0.29,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-05-07 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/5/2024-05-07.pdf,0.27,0.29,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-05-08 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/5/2024-05-08.pdf,0.27,0.29,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-05-09 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/5/2024-05-09.pdf,0.27,0.29,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-05-10 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/5/2024-05-10.pdf,0.27,0.29,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-05-13 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/5/2024-05-13.pdf,0.27,0.29,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-05-14 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/5/2024-05-14.pdf,0.27,0.29,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-05-15 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/5/2024-05-15.pdf,0.27,0.29,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-05-16 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/5/2024-05-16.pdf,0.27,0.29,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-05-17 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/5/2024-05-17.pdf,0.27,0.29,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-05-18 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/5/2024-05-18.pdf,0.27,0.29,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-05-21 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/5/2024-05-21.pdf,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
2024-05-22 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/5/2024-05-22.pdf,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
2024-05-24 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/5/2024-05-24.pdf,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
